result,version,mode,repo,context,method,resource,path,status,empty,comment
passed,v1,public,private,with_permission,GET,builds,/builds?running=true,200,no,
passed,v1,public,private,without_permission,GET,builds,/builds?running=true,200,yes,
passed,v1,public,private,invalid_token,GET,builds,/builds?running=true,403,,
passed,v1,public,private,unauthenticated,GET,builds,/builds?running=true,401,,
passed,v1,public,private,with_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,public,private,without_permission,GET,builds,/builds?repository_id=%{repo.id},200,yes,
passed,v1,public,private,invalid_token,GET,builds,/builds?repository_id=%{repo.id},403,,
passed,v1,public,private,unauthenticated,GET,builds,/builds?repository_id=%{repo.id},401,,
passed,v1,public,private,with_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,public,private,without_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,yes,
passed,v1,public,private,invalid_token,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},403,,
passed,v1,public,private,unauthenticated,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},401,,
passed,v1,public,private,with_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,public,private,without_permission,GET,builds,/builds/%{build.id},404,,
passed,v1,public,private,invalid_token,GET,builds,/builds/%{build.id},403,,
passed,v1,public,private,unauthenticated,GET,builds,/builds/%{build.id},401,,
passed,v1,public,public,with_permission,GET,builds,/builds,200,no,
passed,v1,public,public,without_permission,GET,builds,/builds,200,no,
passed,v1,public,public,invalid_token,GET,builds,/builds,403,,
passed,v1,public,public,unauthenticated,GET,builds,/builds,401,,
passed,v1,public,public,with_permission,GET,builds,/builds?running=true,200,no,
passed,v1,public,public,without_permission,GET,builds,/builds?running=true,200,no,
passed,v1,public,public,invalid_token,GET,builds,/builds?running=true,403,,
passed,v1,public,public,unauthenticated,GET,builds,/builds?running=true,401,,
passed,v1,public,public,with_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,public,public,without_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,public,public,invalid_token,GET,builds,/builds?repository_id=%{repo.id},403,,
passed,v1,public,public,unauthenticated,GET,builds,/builds?repository_id=%{repo.id},401,,
passed,v1,public,public,with_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,public,public,without_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,public,public,invalid_token,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},403,,
passed,v1,public,public,unauthenticated,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},401,,
passed,v1,public,public,with_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,public,public,without_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,public,public,invalid_token,GET,builds,/builds/%{build.id},403,,
passed,v1,public,public,unauthenticated,GET,builds,/builds/%{build.id},401,,
passed,v1,private,public,with_permission,GET,builds,/builds,200,no,
passed,v1,private,public,without_permission,GET,builds,/builds,200,yes,
passed,v1,private,public,invalid_token,GET,builds,/builds,403,,
passed,v1,private,public,unauthenticated,GET,builds,/builds,401,,
passed,v1,private,public,with_permission,GET,builds,/builds?running=true,200,no,
passed,v1,private,public,without_permission,GET,builds,/builds?running=true,200,yes,
passed,v1,private,public,invalid_token,GET,builds,/builds?running=true,403,,
passed,v1,private,public,unauthenticated,GET,builds,/builds?running=true,401,,
passed,v1,private,public,with_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,private,public,without_permission,GET,builds,/builds?repository_id=%{repo.id},200,yes,
passed,v1,private,public,invalid_token,GET,builds,/builds?repository_id=%{repo.id},403,,
passed,v1,private,public,unauthenticated,GET,builds,/builds?repository_id=%{repo.id},401,,
passed,v1,private,public,with_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,private,public,without_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,yes,
passed,v1,private,public,invalid_token,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},403,,
passed,v1,private,public,unauthenticated,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},401,,
passed,v1,private,public,with_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,private,public,without_permission,GET,builds,/builds/%{build.id},404,,
passed,v1,private,public,invalid_token,GET,builds,/builds/%{build.id},403,,
passed,v1,private,public,unauthenticated,GET,builds,/builds/%{build.id},401,,
passed,v1,private,private,with_permission,GET,builds,/builds,200,no,
passed,v1,private,private,without_permission,GET,builds,/builds,200,yes,
passed,v1,private,private,invalid_token,GET,builds,/builds,403,,
passed,v1,private,private,unauthenticated,GET,builds,/builds,401,,
passed,v1,private,private,with_permission,GET,builds,/builds?running=true,200,no,
passed,v1,private,private,without_permission,GET,builds,/builds?running=true,200,yes,
passed,v1,private,private,invalid_token,GET,builds,/builds?running=true,403,,
passed,v1,private,private,unauthenticated,GET,builds,/builds?running=true,401,,
passed,v1,private,private,with_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,private,private,without_permission,GET,builds,/builds?repository_id=%{repo.id},200,yes,
passed,v1,private,private,invalid_token,GET,builds,/builds?repository_id=%{repo.id},403,,
passed,v1,private,private,unauthenticated,GET,builds,/builds?repository_id=%{repo.id},401,,
passed,v1,private,private,with_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,private,private,without_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,yes,
passed,v1,private,private,invalid_token,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},403,,
passed,v1,private,private,unauthenticated,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},401,,
passed,v1,private,private,with_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,private,private,without_permission,GET,builds,/builds/%{build.id},404,,
passed,v1,private,private,invalid_token,GET,builds,/builds/%{build.id},403,,
passed,v1,private,private,unauthenticated,GET,builds,/builds/%{build.id},401,,
passed,v1,org,public,with_permission,GET,builds,/builds,200,no,"returns an empty array, see services/find_builds.rb"
passed,v1,org,public,without_permission,GET,builds,/builds,200,no,
passed,v1,org,public,invalid_token,GET,builds,/builds,403,,
passed,v1,org,public,unauthenticated,GET,builds,/builds,200,no,
passed,v1,org,public,with_permission,GET,builds,/builds?running=true,200,no,
passed,v1,org,public,without_permission,GET,builds,/builds?running=true,200,no,
passed,v1,org,public,invalid_token,GET,builds,/builds?running=true,403,,
passed,v1,org,public,unauthenticated,GET,builds,/builds?running=true,200,no,
passed,v1,org,public,with_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,org,public,without_permission,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,org,public,invalid_token,GET,builds,/builds?repository_id=%{repo.id},403,,
passed,v1,org,public,unauthenticated,GET,builds,/builds?repository_id=%{repo.id},200,no,
passed,v1,org,public,with_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,org,public,without_permission,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,org,public,invalid_token,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},403,,
passed,v1,org,public,unauthenticated,GET,builds,/builds?repository_id=%{repo.id}&branches=%{build.branch},200,no,
passed,v1,org,public,with_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,org,public,without_permission,GET,builds,/builds/%{build.id},200,no,
passed,v1,org,public,invalid_token,GET,builds,/builds/%{build.id},403,,
passed,v1,org,public,unauthenticated,GET,builds,/builds/%{build.id},200,no,
passed,v1,public,private,with_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},200,no,
passed,v1,public,private,without_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},404,,
passed,v1,public,private,invalid_token,GET,settings,/settings/env_vars?repository_id=%{repo.id},403,,
passed,v1,public,private,unauthenticated,GET,settings,/settings/env_vars?repository_id=%{repo.id},401,,
passed,v1,public,public,with_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},200,no,
passed,v1,public,public,without_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},404,,
passed,v1,public,public,invalid_token,GET,settings,/settings/env_vars?repository_id=%{repo.id},403,,
passed,v1,public,public,unauthenticated,GET,settings,/settings/env_vars?repository_id=%{repo.id},401,,
passed,v1,private,public,with_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},200,no,
passed,v1,private,public,without_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},404,,
passed,v1,private,public,invalid_token,GET,settings,/settings/env_vars?repository_id=%{repo.id},403,,
passed,v1,private,public,unauthenticated,GET,settings,/settings/env_vars?repository_id=%{repo.id},401,,
passed,v1,private,private,with_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},200,no,
passed,v1,private,private,without_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},404,,
passed,v1,private,private,invalid_token,GET,settings,/settings/env_vars?repository_id=%{repo.id},403,,
passed,v1,private,private,unauthenticated,GET,settings,/settings/env_vars?repository_id=%{repo.id},401,,
passed,v1,org,public,with_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},200,no,
passed,v1,org,public,without_permission,GET,settings,/settings/env_vars?repository_id=%{repo.id},404,,
passed,v1,org,public,invalid_token,GET,settings,/settings/env_vars?repository_id=%{repo.id},403,,
passed,v1,org,public,unauthenticated,GET,settings,/settings/env_vars?repository_id=%{repo.id},401,,
passed,v1,public,private,with_permission,GET,hooks,/hooks,200,no,
passed,v1,public,private,without_permission,GET,hooks,/hooks,200,yes,
passed,v1,public,private,invalid_token,GET,hooks,/hooks,403,,
passed,v1,public,private,unauthenticated,GET,hooks,/hooks,401,,
passed,v1,public,public,with_permission,GET,hooks,/hooks,200,no,
passed,v1,public,public,without_permission,GET,hooks,/hooks,200,yes,
passed,v1,public,public,invalid_token,GET,hooks,/hooks,403,,
passed,v1,public,public,unauthenticated,GET,hooks,/hooks,401,,
passed,v1,private,public,with_permission,GET,hooks,/hooks,200,no,
passed,v1,private,public,without_permission,GET,hooks,/hooks,200,yes,
passed,v1,private,public,invalid_token,GET,hooks,/hooks,403,,
passed,v1,private,public,unauthenticated,GET,hooks,/hooks,401,,
passed,v1,private,private,with_permission,GET,hooks,/hooks,200,no,
passed,v1,private,private,without_permission,GET,hooks,/hooks,200,yes,
passed,v1,private,private,invalid_token,GET,hooks,/hooks,403,,
passed,v1,private,private,unauthenticated,GET,hooks,/hooks,401,,
passed,v1,org,public,with_permission,GET,hooks,/hooks,200,no,
passed,v1,org,public,without_permission,GET,hooks,/hooks,200,yes,
passed,v1,org,public,invalid_token,GET,hooks,/hooks,403,,
passed,v1,org,public,unauthenticated,GET,hooks,/hooks,401,,
passed,v1,public,private,with_permission,GET,jobs,/jobs,200,no,
passed,v1,public,private,without_permission,GET,jobs,/jobs,200,yes,
passed,v1,public,private,invalid_token,GET,jobs,/jobs,403,,
passed,v1,public,private,unauthenticated,GET,jobs,/jobs,401,,
passed,v1,public,private,with_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,public,private,without_permission,GET,jobs,/jobs/%{job.id},404,,
passed,v1,public,private,invalid_token,GET,jobs,/jobs/%{job.id},403,,
passed,v1,public,private,unauthenticated,GET,jobs,/jobs/%{job.id},401,,
passed,v1,public,private,with_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,public,private,without_permission,GET,jobs,/jobs/%{job.id}/log,404,,
passed,v1,public,private,invalid_token,GET,jobs,/jobs/%{job.id}/log,403,,
passed,v1,public,private,unauthenticated,GET,jobs,/jobs/%{job.id}/log,401,,
passed,v1,public,public,with_permission,GET,jobs,/jobs,200,no,
passed,v1,public,public,without_permission,GET,jobs,/jobs,200,no,
passed,v1,public,public,invalid_token,GET,jobs,/jobs,403,,
passed,v1,public,public,unauthenticated,GET,jobs,/jobs,401,,
passed,v1,public,public,with_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,public,public,without_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,public,public,invalid_token,GET,jobs,/jobs/%{job.id},403,,
passed,v1,public,public,unauthenticated,GET,jobs,/jobs/%{job.id},401,,
passed,v1,public,public,with_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,public,public,without_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,public,public,invalid_token,GET,jobs,/jobs/%{job.id}/log,403,,
passed,v1,public,public,unauthenticated,GET,jobs,/jobs/%{job.id}/log,401,,
passed,v1,private,public,with_permission,GET,jobs,/jobs,200,no,
passed,v1,private,public,without_permission,GET,jobs,/jobs,200,yes,
passed,v1,private,public,invalid_token,GET,jobs,/jobs,403,,
passed,v1,private,public,unauthenticated,GET,jobs,/jobs,401,,
passed,v1,private,public,with_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,private,public,without_permission,GET,jobs,/jobs/%{job.id},404,,
passed,v1,private,public,invalid_token,GET,jobs,/jobs/%{job.id},403,,
passed,v1,private,public,unauthenticated,GET,jobs,/jobs/%{job.id},401,,
passed,v1,private,public,with_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,private,public,without_permission,GET,jobs,/jobs/%{job.id}/log,404,,
passed,v1,private,public,invalid_token,GET,jobs,/jobs/%{job.id}/log,403,,
passed,v1,private,public,unauthenticated,GET,jobs,/jobs/%{job.id}/log,401,,
passed,v1,private,private,with_permission,GET,jobs,/jobs,200,no,
passed,v1,private,private,without_permission,GET,jobs,/jobs,200,yes,
passed,v1,private,private,invalid_token,GET,jobs,/jobs,403,,
passed,v1,private,private,unauthenticated,GET,jobs,/jobs,401,,
passed,v1,private,private,with_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,private,private,without_permission,GET,jobs,/jobs/%{job.id},404,,
passed,v1,private,private,invalid_token,GET,jobs,/jobs/%{job.id},403,,
passed,v1,private,private,unauthenticated,GET,jobs,/jobs/%{job.id},401,,
passed,v1,private,private,with_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,private,private,without_permission,GET,jobs,/jobs/%{job.id}/log,404,,
passed,v1,private,private,invalid_token,GET,jobs,/jobs/%{job.id}/log,403,,
passed,v1,private,private,unauthenticated,GET,jobs,/jobs/%{job.id}/log,401,,
passed,v1,org,public,with_permission,GET,jobs,/jobs,200,no,
passed,v1,org,public,without_permission,GET,jobs,/jobs,200,no,
passed,v1,org,public,invalid_token,GET,jobs,/jobs,403,,
passed,v1,org,public,unauthenticated,GET,jobs,/jobs,200,no,
passed,v1,org,public,with_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,org,public,without_permission,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,org,public,invalid_token,GET,jobs,/jobs/%{job.id},403,,
passed,v1,org,public,unauthenticated,GET,jobs,/jobs/%{job.id},200,no,
passed,v1,org,public,with_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,org,public,without_permission,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,org,public,invalid_token,GET,jobs,/jobs/%{job.id}/log,403,,
passed,v1,org,public,unauthenticated,GET,jobs,/jobs/%{job.id}/log,200,no,
passed,v1,public,private,with_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,public,private,without_permission,GET,logs,/logs/%{log.id},404,,
passed,v1,public,private,invalid_token,GET,logs,/logs/%{log.id},403,,
passed,v1,public,private,unauthenticated,GET,logs,/logs/%{log.id},401,,
passed,v1,public,public,with_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,public,public,without_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,public,public,invalid_token,GET,logs,/logs/%{log.id},403,,
passed,v1,public,public,unauthenticated,GET,logs,/logs/%{log.id},401,,
passed,v1,private,public,with_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,private,public,without_permission,GET,logs,/logs/%{log.id},404,,
passed,v1,private,public,invalid_token,GET,logs,/logs/%{log.id},403,,
passed,v1,private,public,unauthenticated,GET,logs,/logs/%{log.id},401,,
passed,v1,private,private,with_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,private,private,without_permission,GET,logs,/logs/%{log.id},404,,
passed,v1,private,private,invalid_token,GET,logs,/logs/%{log.id},403,,
passed,v1,private,private,unauthenticated,GET,logs,/logs/%{log.id},401,,
passed,v1,org,public,with_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,org,public,without_permission,GET,logs,/logs/%{log.id},200,no,
passed,v1,org,public,invalid_token,GET,logs,/logs/%{log.id},403,,
passed,v1,org,public,unauthenticated,GET,logs,/logs/%{log.id},200,no,
passed,v1,public,private,with_permission,GET,status,/repos/%{user.login}.xml?token=%{user.token},200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{user.login}.xml?token=%{user.token},406,,
passed,v1,public,private,with_permission,GET,status,/repos/%{user.login}.xml,200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{user.login}.xml,406,,
passed,v1,public,private,invalid_token,GET,status,/repos/%{user.login}.xml,403,,
passed,v1,public,private,unauthenticated,GET,status,/repos/%{user.login}.xml,406,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.id}/cc.xml,200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.id}/cc.xml,404,,
passed,v1,public,private,invalid_token,GET,status,/repos/%{repo.id}/cc.xml,403,,
passed,v1,public,private,unauthenticated,GET,status,/repos/%{repo.id}/cc.xml,404,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}/cc.xml,200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}/cc.xml,404,,
passed,v1,public,private,invalid_token,GET,status,/repos/%{repo.slug}/cc.xml,403,,
passed,v1,public,private,unauthenticated,GET,status,/repos/%{repo.slug}/cc.xml,404,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.id}/cc.xml?token=%{user.token},200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.id}/cc.xml?token=%{user.token},404,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}/cc.xml?token=%{user.token},200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}/cc.xml?token=%{user.token},404,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.png,200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.png,200,,
passed,v1,public,private,invalid_token,GET,status,/repos/%{repo.slug}.png,403,,
passed,v1,public,private,unauthenticated,GET,status,/repos/%{repo.slug}.png,200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token} Accept */*,200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token} Accept */*,200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token} Accept application/json,200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token} Accept application/json,200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token} Accept image/png,200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token} Accept image/png,200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token},200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.png?token=%{user.token},200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}?token=%{user.token} Accept image/svg+xml,200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}?token=%{user.token} Accept image/svg+xml,200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.svg?token=%{user.token},200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.svg?token=%{user.token},200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}.svg,200,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}.svg,200,,
passed,v1,public,private,invalid_token,GET,status,/repos/%{repo.slug}.svg,403,,
passed,v1,public,private,unauthenticated,GET,status,/repos/%{repo.slug}.svg,200,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}/builds.atom,200,no,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}/builds.atom,406,,
passed,v1,public,private,invalid_token,GET,status,/repos/%{repo.slug}/builds.atom,403,,
passed,v1,public,private,unauthenticated,GET,status,/repos/%{repo.slug}/builds.atom,406,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}?token=%{user.token} Accept */*,403,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}?token=%{user.token} Accept */*,403,,
passed,v1,public,private,with_permission,GET,status,/repos/%{repo.slug}?token=%{user.token} Accept application/json,403,,
passed,v1,public,private,without_permission,GET,status,/repos/%{repo.slug}?token=%{user.token} Accept application/json,403,,
passed,v1,public,public,with_permission,GET,status,/repos/%{user.login}.xml?token=%{user.token},200,no,
passed,v1,public,public,without_permission,GET,status,/repos/%{user.login}.xml?token=%{user.token},200,no,
passed,v1,public,public,with_permission,GET,status,/repos/%{user.login}.xml,200,no,
